name,price,brand,weight in grams,bearing size,response,material,designed in,made in,machined in,released,description,diameter mm,diameter in,width mm,width in,gap width mm,gap width in,bearing type,material group
Freehand AL,49.99,Duncan,65.5,Size C (.250 x .500 x .187),19mm Slim Pad Size,6061 Aluminum,USA,China,,2020-04-01,All new and improved Aluminum Freehand!,,,,,,,Size C,Aluminum
Sengoku Masamini V2,97.99,Sengoku,64.0,Size C (.250 x .500 x .187),Sengoku Katana Pads (19mm Size),,Japan,China,,2020-05-01,Good things come in small packages!,,,,,,,Size C,
Show Pony,54.99,Rain City,63.55,Size C (.250 x .500 x .187),19mm Slim Pad Size,Aluminum,Canada,China,,2020-05-01,A natural performer!,,,,,,,Size C,Aluminum
66Percent Pyro,119.99,66Percent,60.0,Size A,66Percent Pads,Aluminum Body w/ Stainless Steel Rings,Japan,Japan,,2020-05-01,An hSpin classic reimagined!,,,,,,,Size A,Aluminum Bi-Metal
Speedaholic XX,28.0,C3yoyodesign,66.5,Size C (.250 x .500 x .187),19mm Slim Pad Size,Machined Plastic,Hong Kong,Hong Kong,,2020-06-01,High Performance Plastic!,,,,,,,Size C,Plastic
Encores,69.99,Top Yo,66.67,Size C (.250 x .500 x .187),19mm Slim Pad Size,,China,China,,2020-07-01,Chi Gaoyun Signature Model!,,,,,,,Size C,
Pragma,99.99,YoYoFactory,65.3,Size C (.250 x .500 x .187),19mm Slim Pad Size,6061 Aluminum w/ Stainless Steel Rings,USA,China,,2020-07-01,Izuru Hasumi Signature Model!,,,,,,,Size C,Aluminum Bi-Metal
Mjolnir,100.0,Reykjavik Return Tops,66.2,Size C (.250 x .500 x .187),19mm Slim Pad Size,7068 w/ Stainless Steel Rims,Iceland,China,,,Powerful bi-metal design!,,,,,,,Size C,Bi-Metal
PoryCrash,69.99,C3yoyodesign,64.6,Size C (.250 x .500 x .187),19mm Slim Pad Size,Pom/PC with Steel Rings,Hong Kong,China,,2020-07-01,C3yoyodesign x PoryKon Collaboration!,,,,,,,Size C,Various Bi-Metal
Double Or Nothing,49.99,sOMEThING,59.63,Size C (.250 x .500 x .187),19mm Slim Pad Size,6061 Aluminum,Japan,China,,2020-08-01,Slim-line unresponsive design.,,,,,,,Size C,Aluminum
Focus Z-01,,MagicYoYo,63.68,Size C (.250 x .500 x .187),19mm Slim Pad Size,6061 Aluminum w/ Stainless Steel Rims,China,China,,2020-08-01,New bi-metal design!,,,,,,,Size C,Aluminum Bi-Metal
Silver Bullet,364.99,Round Spinning Objects,60.5,Size C (.250 x .500 x .187),CLYW Size Pads,Titanium,Singapore,China,,2020-08-01,RSO x Tom Kuhn Collaboration!,,,,,,,Size C,Titanium
Markmont. Classic Magnum Opus,99.99,Markmont,63.19,Size C (.250 x .500 x .187),One Drop Standard Flow Groove Pads,7075 Aluminum,USA,USA (One Drop),,2020-08-01,7075 Markmont. Classic!,,,,,,,Size C,Aluminum
Mountain Man,70.99,Freshly Dirty,66.7,Size C (.250 x .500 x .187),19mm Slim Pad Size,6061 Aluminum,USA,China,,2020-08-01,The mountains are calling.,,,,,,,Size C,Aluminum
El Presidente,119.99,Spintime,66.14,Size C (.250 x .500 x .187),19mm Slim Pad Size,7068 Aluminum w/ Stainless Steel Rims,USA,China,,2020-08-01,Brian Melford Signature YoYo.,,,,,,,Size C,Aluminum Bi-Metal
Impulse,34.99,Top Yo,64.5,Size C (.250 x .500 x .187),19mm Slim Pad Size,6061 Aluminum,China,China,,2020-09-01,The new king of speed!,,,,,,,Size C,Aluminum
Cheapskate,69.99,Top Yo,65.5,Size C (.250 x .500 x .187),19mm Slim Pad Size,7003 Aluminum w/ Stainless Steel Rim,China,China,,2020-09-01,Song Zihao Signature YoYo!,,,,,,,Size C,Aluminum Bi-Metal
Peregrine,109.99,yoyofriends,63.52,Size C (.250 x .500 x .187),19mm Slim Pad Size,7068 Aluminum w/ Stainless Steel Rims,China,China,,2020-09-01,Team design built to compete!,,,,,,,Size C,Aluminum Bi-Metal
YWETi MK II,419.99,Round Spinning Objects,65.6,Size C (.250 x .500 x .187),19mm Slim Pad Size,Titanium,Singapore,China,,2020-09-01,Titanium YWET!,,,,,,,Size C,Titanium
ROOC,84.99,C3yoyodesign,64.02,Size C (.250 x .500 x .187),19mm Slim Pad Size,Polycarbonate w/ Stainless Steel Rims,Hong Kong,Hong Kong,,2020-10-01,Shinya Kido Signature YoYo.,,,,,,,Size C,Polycarbonate Bi-Metal
Majesty 2020,68.99,General Yo,66.83,Size C (.250 x .500 x .187),General Yo Hat Pads,6061 Aluminum,USA,China,,2020-11-01,The Majesty is back!,,,,,,,Size C,Aluminum
