name,price,brand,weight in grams,bearing size,response,material,designed in,made in,machined in,released,description,diameter mm,diameter in,width mm,width in,gap width mm,gap width in,bearing type,material group
SS-001z MINI-PANZER Economy,29.99,Sturm Panzer,21.7,Custom NSK Bearing,Custom O-Ring,Brass,Japan,China,,2023-03-01,Worlds Smallest Responsive Yoyo!,,,,,,,Other,Brass
Twin Drive Aluminum,99.99,Top Yo,64.0,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7003 Aluminum w/ Stainless Steel Rings,China,China,,2023-04-01,Bi-metal with Twice the Power!,,,,,,,Size C,Aluminum Bi-Metal
Noema,79.99,Top Yo,66.0,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7003 Aluminum w/ Stainless Steel Ring,China,China,,2023-04-01,Song Zihao Signature YoYo!,,,,,,,Size C,Aluminum Bi-Metal
Colossus S,49.99,Top Yo,65.5,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7003 Aluminum w/ Stainless Steel Rings,China,China,,2023-04-01,Bi-Metal Colossus!,,,,,,,Size C,Aluminum Bi-Metal
Annihilation Mono,34.99,Top Yo,68.8,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7003 Aluminum,China,China,,2023-04-01,Lin Junyi Signature YoYo!,,,,,,,Size C,Aluminum
T.R.Y.,34.99,Top Yo,65.0,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7068 Aluminum,China,China,,2023-04-01,Organic Competition YoYo!,,,,,,,Size C,Aluminum
Kubrick,79.99,Smashing Yo-Yo Company,63.75,Size C,19mm Slim Pad,7075 Aluminum,,,,2023-01-01,Super Wide Design!,,,,,,,Size C,Aluminum
Lucas Decker Signature KnockOut Series YoYos,44.99,YoYoFactory,64.97,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,USA,China,,2021-05-01,Eric Koloski Signature YoYo!,,,,,,,Size C,Aluminum
El Mijo Polycarbonate,69.0,Zero Gravity Return Tops,52.5,Size D,El Mijo Size D Response Pad,Polycarbonate,Canada,China,,2023-04-01,Slimline Polycarbonate Yoyo!,,,,,,,Size D,Polycarbonate
TiNY,140.0,yoyofriends,60.95,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Titanium,China,China,,2023-04-01,Small Titanium YoYo!,,,,,,,Size C,Titanium
Cheatcode,65.0,Brandon Vu & Jeffrey Pang,67.1,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum w/ Delrin Caps,Canada,China,,2023-04-01,The Ultimate Fingerspin Yoyo!,,,,,,,Size C,Aluminum
Yonami Code,47.99,Rain City,62.5,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,Canada,China,,2023-04-01,Triple Signature H Shape YoYo!,,,,,,,Size C,Aluminum
Orbital GTX 2,74.99,Duncan,66.6,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum w/ Stainless Steel Ring,USA,China,,2023-04-01,Tal Mordoch Signature YoYo!,,,,,,,Size C,Aluminum Bi-Metal
Grasshopper GTX 2,79.99,Duncan,65.2,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum w/ Stainless Steel Ring,USA,China,,2023-04-01,Janos Karancz Signature YoYo!,,,,,,,Size C,Aluminum Bi-Metal
Kodiak,90.0,Caribou Lodge,65.83,Size C (.250 x .500 x .187),CLYW Snow Tire,6061 Aluminum,Canada,China,,2023-05-01,Tessa Piccillo Signature Yoyo!,,,,,,,Size C,Aluminum
OOCH SnapBack Starter Set,19.99,YoYoExpert,,,,,,,,,The best way to get started,,,,,,,,
OOCH SnapBack & Atom Smasher Starter Set,35.99,YoYoExpert,,,,,,,,,The best way to get started,,,,,,,,
OOCH SnapBack YoYo,12.99,YoYoExpert,,,,,,,,,The best way to get started,,,,,,,,
Notion,80.0,Unparalleled,69.39,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",POM w/ Stainless Steel Rings,USA,China,,2023-05-01,Colin Beckford Signature YoYo!,,,,,,,Size C,POM Bi-Metal
Speedaholic FX,59.99,C3yoyodesign,65.25,Size C (.250 x .500 x .187),19mm Slim Pad Size,Polycarbonate w/ 6061 Rims/Hubs,Hong Kong,,,2023-05-01,Hybrid Fingerspin YoYo!,,,,,,,Size C,Polycarbonate
Satinav,220.0,C3yoyodesign,64.0,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum w/ Titanium Ring,Hong Kong,China,,2023-05-01,Leo Chan Matsumoto Signature YoYo!,,,,,,,Size C,Aluminum Bi-Metal
Harmonic,120.0,Motion YoYo,62.9,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7068 Aluminum - SS rims (20.9g each),USA,,,2023-05-01,The YoYo For Relaxing & Enjoying Your Day,,,,,,,Size C,Aluminum
Snowberry,65.0,Atmos Project,65.6,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Delrin,,,,2023-06-01,Organic Delrin YoYo!,,,,,,,Size C,Delrin
Samothrace,159.99,C3yoyodesign,64.6,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7075 Aluminum w/ Stainless Steel Ring,Hong Kong,,,2023-06-01,Hobbit Wang Xiao-Wen Signature YoYo!,,,,,,,Size C,Aluminum Bi-Metal
Reboot,71.0,One Drop YoYos,63.5,Size C (.250 x .500 x .187),One Drop Standard Flow Groove Pad,7075 Aluminum,USA,USA,,2023-05-01,Ryosuke Kawamura Signature YoYo!,,,,,,,Size C,Aluminum
Blur Autoscopy,86.99,yoyorecreation,61.7,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,Japan,,,2023-06-01,Hajime Miura Signature YoYo!,,,,,,,Size C,Aluminum
Turbo Grind Machine,60.0,YoYoFactory,55.5,Size A,Retro Response Pads,6061 Aluminum,USA,China,,2023-06-01,Retro Responsive YoYo!,,,,,,,Size A,Aluminum
Hybrid Fulvia,55.0,Luftverk,64.98,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Polycarbonate w/ 6061 Aluminum Rings,Canada,China,,2023-06-01,Classic YoYoJam Feel w/ Modern Form Factor Design!,,,,,,,Size C,Polycarbonate Bi-Metal
Jugemu,79.99,Japan Technology,66.8,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Aluminum,Japan,China,,2023-06-01,Taking Heavyweight YoYos to the next level!,,,,,,,Size C,Aluminum
Burning Hammer,49.99,Turnbuckle YoYo,66.0,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,USA,China,,2022-08-01,Inspired by Kenta Kobashi's legendary finisher!,,,,,,,Size C,Aluminum
Torrent 2,69.0,General Yo,66.45,Size C (.250 x .500 x .187),"General Yo ""Hat Pads"" 20mm",6061 Aluminum,USA,China,,2022-08-01,Back after over a decade!,,,,,,,Size C,Aluminum
Dunk Rebound,65.0,Jake Bullock,64.6,Size D (5x11x5 mm),Freshly Dirty Response Pads,7075 Aluminum,USA,China,,2022-08-01,7075 Aluminum DUNK!,,,,,,,Size D,Aluminum
Toddler LINKX,49.99,Japan Technology,55.6,Size D (5x11x5 mm),,Aluminum,Japan,China,,2022-08-01,Mini metal version of the LINKX!,,,,,,,Size D,Aluminum
Durendal,83.99,Zero Gravity Return Tops,62.7,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Aluminum w/ Steel Rims,Canada,China,,2022-08-01,As powerful and Agile as the sword it's named after!,,,,,,,Size C,Aluminum Bi-Metal
Motif,119.99,Unparalleled,63.25,Size C (.250 x .500 x .187),19mm slim Pad Size,Body: 7075AluminumRim: 6061 Aluminum,USA,China,,2022-09-01,Daniel Kim Signature Yo-Yo!,,,,,,,Size C,Aluminum
Tachyon,109.99,yoyofriends,60.8,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7068 Aluminum w/ Stainless Steel Rims,China,China,,2022-09-01,YoYoFriends 6th Anniversary Release!,,,,,,,Size C,Aluminum Bi-Metal
Gemstones,119.99,Arc1,,Size D (5x11x5 mm),"""Slim Pad"" Size 19mm OD",,Netherlands,China,,,Stunning New YoYo Design,,,,,,,Size D,
Infiltrate,,MOWL,67.0,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7075 Aluminum,Japan,China,,2022-09-01,Eric Tranton signature yoyo!,,,,,,,Size C,Aluminum
SnapBack,12.99,YoYoExpert,55.3,Size A - Center Trac,Starbust,,USA,China,,,Longest Spinning Starter YoYo,,,,,,,Size A,
Beater,99.99,Caribou Lodge,66.8,Size C (.250 x .500 x .187),Snow Tires,7075 Aluminum,Canada,China,,2022-09-01,Double Rim Organic Design,,,,,,,Size C,Aluminum
Sasquatch,119.99,Caribou Lodge,62.4,Size C (.250 x .500 x .187),Snow Tires,6061 Aluminum,Canada,China,,2022-09-01,The Sasquatch Returns in a BIG way!,,,,,,,Size C,Aluminum
Haymaker OG,69.99,Duncan,60.8,ConcaveSize C (.250 x .500 x .187),"Duncan Silicone Groove StickersCompatible with ""Slim Pad"" Size 19mm OD",,USA,China,,,Fast Powerful Bi-Metal Design!,,,,,,,Size C,
Haymaker (Aluminum),44.99,Duncan,64.2,Size C (.250 x .500 x .187),19mm Slim Pad Size,,USA,China,,,Versatile and Powerful Design!,,,,,,,Size C,
Wingweaver,85.0,Damian Puckett,,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7068 Aluminum/Stainless Steel Rings & 7068 Aluminum/Brass Rings,USA,China,,2022-10-01,Powerful W-Shaped YoYo,,,,,,,Size C,Aluminum Bi-Metal
Fusion,85.0,Damian Puckett,,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7068 Aluminum/Stainless Steel Rings & 7068 Aluminum/Brass Rings,USA,China,,2022-10-01,Damian Puckett and Dressel Designs Collaboration!,,,,,,,Size C,Aluminum Bi-Metal
Aventus,100.0,Thesis,65.0,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum + SS Rings,USA,China,,2022-10-01,Powerful V-Shaped Bi-Metal!,,,,,,,Size C,Aluminum Bi-Metal
MonsteR,54.99,YoYoFactory,67.0,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,Japan,China,,2022-10-01,A REALLY WIDE MONO-METAL YO-YO!,,,,,,,Size C,Aluminum
KnuckleYo,63.99,Zero Gravity Return Tops,47.7,Concave Size A,“Slim Pad” Size 19mm OD,Aluminum Body w/ Stainless Steel brass or Copper Beads,Canada,China,,2022-10-01,Knuckleroller x Yo-Yo!,,,,,,,Size A,Aluminum Bi-Metal
Monarch,79.99,Dressel Designs,65.3,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,USA,China,,2022-10-01,Plastic Body W/ Aluminum Weight Rings!,,,,,,,Size C,Aluminum
Diffraction V3,69.99,MK1 YoYos,64.4,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7075 Aluminum,USA,China,,2022-10-01,Monometal Designed For Comfort and Performance!,,,,,,,Size C,Aluminum
Deeper State,54.0,One Drop YoYos,52.3,Size C (.250 x .500 x .187),One Drop Pads  Standard Flow Groove Pad,6061 Aluminum,USA,USA,,2022-10-01,We Need To Go Deeper!,,,,,,,Size C,Aluminum
Free Solo,66.0,One Drop YoYos,65.0,Size C (.250 x .500 x .187),One Drop Pads  Standard Flow Groove Pad,7075 Aluminum,USA,USA,,2022-10-01,Powerful 7075 Aluminum V-Shaped Yo-Yo!,,,,,,,Size C,Aluminum
Thorn,62.0,One Drop YoYos,64.7,Size C (.250 x .500 x .187),One Drop Pads  Standard Flow Groove Pad,6061 Aluminum,USA,USA,,2022-10-01,Do you dare try a spin start or air grab?,,,,,,,Size C,Aluminum
Cold Fusion GT,69.99,Duncan,,Size A,Small Bearing Pad,6061 Aluminum,USA,China,,2022-11-01,An all time classic re-imagined for a modern age.,,,,,,,Size A,Aluminum
wave,,Static Co,63.2,Size C (.250 x .500 x .187),One Drop Flow Groove Pads,7068 Aluminum,USA,China,,2022-11-01,"Fun, Slim, Highwall Organic - Brian Cosky Signature YoYo",,,,,,,Size C,Aluminum
Legato II,96.99,General Yo,64.4,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7075 Aluminum w/ Stainless Steel Rings,USA,China,,2023-01-01,Powerful V-Shaped Bi-Metal YoYo!,,,,,,,Size C,Aluminum Bi-Metal
Stellar IX,124.99,C3yoyodesign,73.4,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Polycarbonate,Hong Kong,China,,2022-11-01,Sora Ishikawa Signature YoYo,,,,,,,Size C,Polycarbonate
Geedorah,60.0,GWAY,64.6,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,USA,China,,2022-11-01,GWAY Throws First Competition Design!,,,,,,,Size C,Aluminum
Kamuraiju,66.0,One Drop YoYos,64.55,Size C (.250 x .500 x .187),One Drop Standard Flow Groove Pad,6061 Aluminum,USA,USA,,2022-11-01,Flat Rimmed - Daiju Okamura Signature YoYo!,,,,,,,Size C,Aluminum
Miracle,159.99,YoYoFactory,65.8,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7075 Aluminum w/Brass/Polycarbonate Rims,USA,China,,2022-11-01,The Next Generation of Yo-Yo Performance and Design - Mir & Miri Kim Signature YoYos!,,,,,,,Size C,Aluminum Bi-Metal
Edge FS 2.0,35.99,YoYoFactory,66.8,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,USA,China,,2022-11-01,Budget Fingerspin YoYo!,,,,,,,Size C,Aluminum
Qi,61.99,Zero Gravity Return Tops,62.1,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7003Aluminum,Canada,China,,2022-11-01,Comfortable H-Shaped YoYo!,,,,,,,Size C,Aluminum
MN AUTOSCOPY,65.99,yoyorecreation,67.0,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Aluminum,Japan,China,,2022-11-01,Hajime Miura Signature YoYo!,,,,,,,Size C,Aluminum
BAE,168.99,yoyorecreation,65.0,Size C (.250 x .500 x .187),YYR Size C,Aluminum,Japan,China,,2022-12-01,Toru Miyazaki signature model!,,,,,,,Size C,Aluminum
Orochi,97.99,Sengoku,67.0,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7068 Aluminum,Japan,China,,2022-12-01,Organic meets Sengoku!,,,,,,,Size C,Aluminum
Dynames,55.0,MK1 YoYos,64.0,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7075 Aluminum,USA,China,,2022-12-01,Rounded Out V Shaped YoYo - Max Choo Signature YoYo!,,,,,,,Size C,Aluminum
Seiji,120.0,Unparalleled,65.61,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7068 Aluminum w/ Stainless Steel Rings,USA,China,,2022-12-01,Signature Bimetal of Junsang Park,,,,,,,Size C,Aluminum Bi-Metal
Graviton,179.99,yoyofriends,64.7,Size C (.250 x .500 x .187),19mm slim Pad Size,,China,China,,,Bi-metal With Titanium Rims! - Tony Sung Signature YoYo!,,,,,,,Size C,
Pharaoh Plus,139.99,Good Life YoYos,64.41,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum w/ Stainless Steel Rings,USA,China,,2022-12-01,Filip David Signature Series,,,,,,,Size C,Aluminum Bi-Metal
Plastic Fulvia,29.99,Luftverk,67.01,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Plastic,Canada,China,,2022-12-01,Injection Machined Innovative Plastic,,,,,,,Size C,Plastic
The Bowl 303,,Round Spinning Objects,63.7,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",303 Stainless Steel,Singapore,China,,2022-12-01,ENGINEERING MARVEL,,,,,,,Size C,Stainless Steel
Hades,219.99,Turning Point,80.2,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 w/ Stainless Steel Rings,Japan,China,,2023-01-01,Over Sized Bi-Metal YoYo!,,,,,,,Size C,Bi-Metal
Solenoid,139.99,Turning Point,67.3,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,Japan,China,,2023-01-01,Stable Heavy-weight Powerful YoYo!,,,,,,,Size C,Aluminum
Ziz,199.99,Turning Point,66.5,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 w/ Titanium Rim,Japan,,,2023-01-01,Ryo Enomoto Signature Yoyo!,,,,,,,Size C,Bi-Metal
Nucleon,80.7,yoyofriends,65.1,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7068 Aluminum w/ Stainless Steel Rims,China,China,,2023-01-01,YoYoFriends 7th Anniversary Release!,,,,,,,Size C,Aluminum Bi-Metal
Hatrick 2,104.99,General Yo,65.0,Size C (.250 x .500 x .187),Hat Pads,7075 Aluminum w/ Stainless Steel Rings,USA,China,,2023-01-01,Organic 7075 Aluminum Bi-Metal YoYo!,,,,,,,Size C,Aluminum Bi-Metal
Wyvern,62.0,One Drop YoYos,66.6,Size C (.250 x .500 x .187),One Drop Standard Flow Groove Pad,6061 Aluminum,USA,USA,,2023-01-01,Flat Rimmed - Andrew Daugherty Signature YoYo!,,,,,,,Size C,Aluminum
Spotlight Ultra,59.99,YoYoFactory,64.8,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7068 Aluminum,USA,China,,2023-01-01,Hunter Feuerstein Signature YoYo!,,,,,,,Size C,Aluminum
Cyber Crash 2,34.99,C3yoyodesign,65.2,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,Hong Kong,China,,2023-02-01,C3 Crash Series!,,,,,,,Size C,Aluminum
YYF Fast 201,9.99,YoYoFactory,,,,,,,,,Fully Active Starburst Technology,,,,,,,,
YYF DV888,19.99,YoYoFactory,,,,,,,,,Affordable Entry-Level Metal Yo-Yo,,,,,,,,
Duncan Pulse,8.99,Duncan,,,,,,,,,Light Up Yo-Yo!,,,,,,,,
YYF Mighty Flea,64.99,YoYoFactory,,,,,,,,,Worlds Smallest Yo-Yo Built For Advanced Play,,,,,,,,
Metal Drifter,24.99,Duncan,58.5,Size C Narrow,19mm Slim Pad Size,,USA,China,,,Redesigned for modern performance!,,,,,,,Size C,
Duncan Proyo,6.5,Duncan,,,,,,,,,Great Intro Yo-Yo - Learn The Basics,,,,,,,,
YYF ONE,12.99,YoYoFactory,,,,,,,,,THE ONE YO-YO EVERYONE SHOULD OWN,,,,,,,,
Whip,8.99,YoYoFactory,,,,,,,,,Amazing performance and play at a great price!,,,,,,,,
YYF One Starter Set,18.99,YoYoFactory,,,,,,,,,Get Started The YoYoFactory Way!,,,,,,,,
Power Brain XP,14.99,Yomega,,,,,,,,,SmartSwitch Technology.,,,,,,,,
FIRMY,49.99,sOMEThING,,,,,,,,,Your First Metal Yo-Yo,,,,,,,,
Velocity,15.99,YoYoFactory,,,,,,,,,Fully Adjustable Plastic Yo-Yo,,,,,,,,
Duncan Butterfly XT,5.99,Duncan,,,,,,,,,All Affordable Beginner Bearing Yo-Yo,,,,,,,,
The V,55.0,sOMEThING,,,,,,,,,Japenese High End Machined Delrin Yo-Yo,,,,,,,,
ANGLAM CC (Christopher Chia Edition),210.0,sOMEThING,,,,,,,,,Christopher Chia Signature Yo-Yo,,,,,,,,
Duncan Flipside,19.99,Duncan,,,,,,,,,Go Responsive To Unresponsive With Just A Flip,,,,,,,,
Duncan Hornet,12.99,Duncan,,,,,,,,,Advanced Looping Yo-Yo,,,,,,,,
Yoyorecreation Diffusion,33.99,yoyorecreation,,,,,,,,,All Plastic Japanese Design,,,,,,,,
Shutter,44.99,YoYoFactory,,,,,,,,,A Great Yo-Yo Is Something Every Champion Needs!,,,,,,,,
Addiction,39.99,sOMEThING,,,,,,,,,Warning: This Yo-Yo May Be Habit Forming!,,,,,,,,
YYF Hubstack YoYo,24.99,YoYoFactory,,,,,,,,,Hubstack Play Has Never Been More Fun!,,,,,,,,
Aura,39.99,Top Yo,64.5,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7003 Aluminum,China,China,,2022-04-01,Bi-metal style without the bi-metal price!,,,,,,,Size C,Aluminum
Null,34.99,Top Yo,64.5,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7068 Aluminum,China,China,,2022-04-01,TopYo x July YoYo Collaboration!,,,,,,,Size C,Aluminum
Heterogeneity,69.99,MOWL,66.1,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Aluminum,Japan,China,,2022-04-01,Kenta Kushiro signature yoyo!,,,,,,,Size C,Aluminum
Inception,179.99,Few and Far Between,64.5,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7068 Aluminum w/ Titanium Rims,USA,China,,2022-05-01,Jonathan Saelens signature yoyo!,,,,,,,Size C,Aluminum Bi-Metal
Punk,64.99,Rain City,63.1,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Delrin,Canada,China,,2022-05-01,Jeff Anderson signature model!,,,,,,,Size C,Delrin
Stratom,34.99,Infinity Layer,62.5,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",PLA,Canada,Canada,,2022-05-01,3D Printed YoYo!,,,,,,,Size C,Plastic
Infinity Weight,9.99,Infinity Layer,,,,,,,,,3D Printed Counterweights!,,,,,,,,
Derivative,359.99,Turning Point,67.7,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Magnesium,Japan,China,,2022-05-01,Full Magnesium YoYo!,,,,,,,Size C,Magnesium
Acanthus,74.99,Turning Point,66.3,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,Japan,China,,2022-05-01,Takeshi Matsuura Signature Model!,,,,,,,Size C,Aluminum
Alnilam,434.99,Turning Point,66.25,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Magnesium w/ Stainless Steel Rims,Japan,China,,2022-05-01,Magnesium with Stainless Steel Rims!,,,,,,,Size C,Magnesium Bi-Metal
ASTer,269.99,Turning Point,70.1,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum w/ Titanium and Stainless Steel Rings,Japan,China,,2022-05-01,Yuta Kashiwaya Signature Model!,,,,,,,Size C,Aluminum
High Wall,59.99,MOWL,65.6,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Plastic,Japan,China,,2022-05-01,New plastic design!,,,,,,,Size C,Plastic
Sushi,379.99,Round Spinning Objects,67.1,Size C (.250 x .500 x .187),CLYW Snow Tire Pad,Titanium,Singapore,China,,2022-05-01,Side Effect Titanium Design!,,,,,,,Size C,Titanium
Mirage Box Set,229.99,Japan Technology,,,,,,,,,Three piece Mirage Collection!,,,,,,,,
Two Bits,64.99,Rain City,56.05,Size D,"""Slim Pad"" Size 19mm OD",Stainless Steel,Canada,China,,2022-05-01,New Mini Design!,,,,,,,Size D,Stainless Steel
Epsilon,89.99,Throwing Sideways,64.37,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum w/ Stainless Steel Rims,USA,China,,2022-05-01,Our first release from Throwing Sideways!,,,,,,,Size C,Aluminum Bi-Metal
Berserker Decade,44.99,C3yoyodesign,65.73,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,Hong Kong,China,,2022-06-01,10 Years of Berserker!,,,,,,,Size C,Aluminum
Socius,144.99,C3yoyodesign,64.03,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum w/ Stainless Steel Rims,Hong Kong,China,,2022-06-01,World Champion Shion Araya Signature Model!,,,,,,,Size C,Aluminum Bi-Metal
Riesenwellen - Cruiser,79.99,R2FG,64.5,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7075 Aluminum w/ Stainless Steel Rim,China,China,,2022-06-01,New brand from R2FG!,,,,,,,Size C,Aluminum Bi-Metal
Riesenwellen - Sailfish,79.99,R2FG,63.4,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7075 Aluminum w/ Stainless Steel Rim,China,China,,2022-06-01,New Brand from R2FG!,,,,,,,Size C,Aluminum Bi-Metal
Jade,79.99,R2FG,65.0,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Polycarbonatew/ Stainless Steel Rim,China,China,,2022-06-01,Rounded bi-material design.,,,,,,,Size C,Polycarbonate Bi-Metal
Euclase AL,35.99,R2FG,63.8,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,China,China,,2022-06-01,New Aluminum Design!,,,,,,,Size C,Aluminum
Hydrogen Crash,109.99,C3yoyodesign,63.2,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum w/ Stainless Steel Rims,Hong Kong,China,,2022-06-01,C3 CRASH Series!,,,,,,,Size C,Aluminum Bi-Metal
Galaxy Dinosaur,,C3yoyodesign,63.7,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum w/ Titanium Rims,Hong Kong,China,,2022-06-01,The latest in the Galaxy Diver series!,,,,,,,Size C,Aluminum Bi-Metal
Spyglass,99.99,MK1 YoYos,63.9,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7075 Aluminum w/ Stainless Steel Ring,USA,China,,2022-06-01,Unique organic bi-metal design!,,,,,,,Size C,Aluminum Bi-Metal
Shortcut,30.0,yoyofriends,66.2,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,China,China,,2022-06-01,Shortcut to a higher level of performance!,,,,,,,Size C,Aluminum
Holly5,29.99,YJYOYO,66.3,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,Korea,China,,2022-06-01,Beginner Friendly Unresponsive Metal!,,,,,,,Size C,Aluminum
Lapaz,40.99,YJYOYO,66.1,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,Korea,China,,2022-06-01,Excellent choice for any skill level!,,,,,,,Size C,Aluminum
Time Slip,40.99,YJYOYO,66.1,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,Korea,China,,2022-06-01,Maximum spin time and stability!,,,,,,,Size C,Aluminum
Segamonte,109.99,YJYOYO,65.46,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum w/ Stainless Steel Rims,Korea,China,,2022-06-01,Built for competitive 1A play!,,,,,,,Size C,Aluminum Bi-Metal
Monories,69.99,YJYOYO,65.0,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,Korea,China,,2022-06-01,Oversized mono-metal design!,,,,,,,Size C,Aluminum
Metal of the Future,124.99,YJYOYO,66.0,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Aluminum / Stainless Steel / POM,Korea,China,,2022-06-01,Welcome to the Future!,,,,,,,Size C,Various
Spinell,17.99,YJYOYO,64.6,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Polycarbonate,Korea,China,,2022-06-01,Entry level unresponsive design!,,,,,,,Size C,Polycarbonate
Informel,59.99,Unparalleled,63.5,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,USA,China,,2022-07-01,In Hyeok Choi Signature YoYo!,,,,,,,Size C,Aluminum
